,sale price,address,latitude,longitude,neighborhood,burough,zip code,gross sq feet,land sq feet
841,14957,"42-60 CRESCENT STREET, LONG ISLAND CITY, QUEENS, NEW YORK, NY, 11101",40.74919945,-73.9421309693457,LONG ISLAND CITY,QUEENS,11101, -  , -  
842,827739,"299 WEST 12TH STREET, GREENWICH VILLAGE-WEST, MANHATTAN, NEW YORK, NY, 10014",40.736032,-73.997805,GREENWICH VILLAGE-WEST,MANHATTAN,10014, -  , -  
844,250000,"220-03 146TH   AVENUE, ROSEDALE, QUEENS, NEW YORK, NY, 11413",40.65817,-73.744956,ROSEDALE,QUEENS,11413,1385,4000
846,999000,"151-75 19TH AVENUE, WHITESTONE, QUEENS, NEW YORK, NY, 11357",40.7817754,-73.8090700427047,WHITESTONE,QUEENS,11357,1480,5500
847,1800000,"1 HANSON PLACE, FORT GREENE, BROOKLYN, NEW YORK, NY, 11217",40.6855462,-73.9777235818254,FORT GREENE,BROOKLYN,11217,0,0
848,1520000,"1370 DEAN STREET, CROWN HEIGHTS, BROOKLYN, NEW YORK, NY, 11216",40.67632485,-73.9433312932147,CROWN HEIGHTS,BROOKLYN,11216,3204,3051
851,700000,"104-11 NORTHERN BOULEVARD, EAST ELMHURST, QUEENS, NEW YORK, NY, 11368",40.7582033,-73.8569603,EAST ELMHURST,QUEENS,11368, -  ,2185
852,409000,"185 EAST 2ND STREET, C, ALPHABET CITY, MANHATTAN, NEW YORK, NY, 10009",40.7221746,-73.984374595098,ALPHABET CITY,MANHATTAN,10009, -  , -  
853,1106570,"131-03 40TH   ROAD, FLUSHING-NORTH, QUEENS, NEW YORK, NY, 11354",40.7560827,-73.8357912,FLUSHING-NORTH,QUEENS,11354, -  , -  
854,7100000,"344 EAST 51ST   STREET, MIDTOWN EAST, MANHATTAN, NEW YORK, NY, 10022",40.7547425,-73.9665371,MIDTOWN EAST,MANHATTAN,10022,5812,2008
857,499000,"1369 BAY RIDGE AVENUE, DYKER HEIGHTS, BROOKLYN, NEW YORK, NY, 11219",40.622873109551,-74.0023490355684,DYKER HEIGHTS,BROOKLYN,11219,0,0
861,505000,"151-48 133RD   AVENUE, SPRINGFIELD GARDENS, QUEENS, NEW YORK, NY, 11434",40.674558,-73.73003,SPRINGFIELD GARDENS,QUEENS,11434,1400,3200
863,775000,"70 DOSCHER ST, EAST NEW YORK, BROOKLYN, NEW YORK, NY, 11208",40.6757099,-73.8728835,EAST NEW YORK,BROOKLYN,11208,2663,1746
864,509600,"135-50 228TH   STREET, LAURELTON, QUEENS, NEW YORK, NY, 11413",40.67396295,-73.7441840561694,LAURELTON,QUEENS,11413,1568,6000
866,475000,"405 MANHATTAN STREET, TOTTENVILLE, STATEN ISLAND, NEW YORK, NY, 10307",40.5001225,-74.24070165,TOTTENVILLE,STATEN ISLAND,10307,1472,2833
867,378000,"109-53 130TH   STREET, SOUTH OZONE PARK, QUEENS, NEW YORK, NY, 11420",40.6673677,-73.8102415,SOUTH OZONE PARK,QUEENS,11420,1280,2840
868,590000,"3-23 125TH   STREET, COLLEGE POINT, QUEENS, NEW YORK, NY, 11356",40.7678577,-73.8440311,COLLEGE POINT,QUEENS,11356,1534,2000
